MINMAXARR: 6.071ms
j 0, m 5, X NA, A 1,5,7,6
j 0, m 5, X NA, A 1,5,7,6
j 1, m 5, X 0, A 1,5,7,6
j 1, m 5, X 4, A 5,1,7,6
j 0, m 5, X NA, A 5,1,7,6
j 2, m 5, X 2, A 5,3,5,6
j 3, m 5, X 0, A 5,3,5,6
j 3, m 5, X 0, A 5,3,5,6
j 1, m 5, X 1, A 6,2,5,6
j 2, m 5, X 0, A 6,2,5,6
j 0, m 5, X NA, A 6,2,5,6
j 3, m 5, X 2, A 6,2,7,4
j 2, m 5, X 1, A 6,3,6,4
j 1, m 5, X 0, A 6,3,6,4
j 1, m 5, X 0, A 6,3,6,4
j 1, m 5, X 2, A 8,1,6,4
j 3, m 5, X 2, A 8,1,8,2
j 0, m 5, X NA, A 8,1,8,2
j 0, m 5, X NA, A 8,1,8,2
j 0, m 5, X NA, A 8,1,8,2
j 0, m 5, X NA, A 8,1,8,2
j 0, m 5, X NA, A 8,1,8,2
j 3, m 5, X 0, A 8,1,8,2
j 3, m 5, X 0, A 8,1,8,2
j 2, m 5, X 2, A 8,3,6,2
j 2, m 5, X 5, A 8,8,1,2
j 3, m 5, X 0, A 8,8,1,2
j 0, m 5, X NA, A 8,8,1,2
j 3, m 5, X 0, A 8,8,1,2
j 2, m 5, X 0, A 8,8,1,2
j 1, m 5, X 3, A 11,5,1,2
j 2, m 5, X 0, A 11,5,1,2
j 1, m 5, X 3, A 14,2,1,2
j 0, m 5, X NA, A 14,2,1,2
j 2, m 5, X 0, A 14,2,1,2
j 2, m 5, X 0, A 14,2,1,2
j 1, m 5, X 0, A 14,2,1,2
j 0, m 5, X NA, A 14,2,1,2
j 1, m 5, X 0, A 14,2,1,2
j 1, m 5, X 0, A 14,2,1,2
j 2, m 5, X 0, A 14,2,1,2
j 3, m 5, X 0, A 14,2,1,2
j 1, m 5, X 1, A 15,1,1,2
j 0, m 5, X NA, A 15,1,1,2
j 2, m 5, X 0, A 15,1,1,2
j 3, m 5, X 1, A 15,1,2,1
j 1, m 5, X 0, A 15,1,2,1
j 1, m 5, X 0, A 15,1,2,1
j 2, m 5, X 0, A 15,1,2,1
j 0, m 5, X NA, A 15,1,2,1
j 0, m 5, X NA, A 15,1,2,1
j 0, m 5, X NA, A 15,1,2,1
j 0, m 5, X NA, A 15,1,2,1
j 0, m 5, X NA, A 15,1,2,1
j 1, m 5, X 0, A 15,1,2,1
j 1, m 5, X 0, A 15,1,2,1
j 2, m 5, X 0, A 15,1,2,1
j 0, m 5, X NA, A 15,1,2,1
j 0, m 5, X NA, A 15,1,2,1
j 1, m 5, X 0, A 15,1,2,1
j 3, m 5, X 0, A 15,1,2,1
j 0, m 5, X NA, A 15,1,2,1
j 0, m 5, X NA, A 15,1,2,1
j 2, m 5, X 0, A 15,1,2,1
j 3, m 5, X 0, A 15,1,2,1
j 2, m 5, X 0, A 15,1,2,1
j 2, m 5, X 1, A 15,2,1,1
j 3, m 5, X 0, A 15,2,1,1
j 0, m 5, X NA, A 15,2,1,1
j 0, m 5, X NA, A 15,2,1,1
j 2, m 5, X 0, A 15,2,1,1
j 0, m 5, X NA, A 15,2,1,1
j 3, m 5, X 0, A 15,2,1,1
j 2, m 5, X 0, A 15,2,1,1
j 1, m 5, X 1, A 16,1,1,1
j 2, m 5, X 0, A 16,1,1,1
j 1, m 5, X 0, A 16,1,1,1
j 0, m 5, X NA, A 16,1,1,1
j 0, m 5, X NA, A 16,1,1,1
j 2, m 5, X 0, A 16,1,1,1
j 0, m 5, X NA, A 16,1,1,1
j 0, m 5, X NA, A 16,1,1,1
j 1, m 5, X 0, A 16,1,1,1
j 2, m 5, X 0, A 16,1,1,1
j 0, m 5, X NA, A 16,1,1,1
j 0, m 5, X NA, A 16,1,1,1
